TortoiseID,EncounterDate,Fieldworker1,Fieldworker2,Fieldworker3,SWC,NewGrowth,ForelegDirt,GeneticsSample,ToxicologySample,ToxDuplicateSample,ToxWholeBloodSample,ErodedNarisLeft,ErodedNarisLeftValue,ErodedNarisRight,ErodedNarisRightValue,OcclusionNarisLeft,OcclusionNarisLeftValue,OcclusionNarisRight,OcclusionNarisRightValue,EdemaEyeLeft,PalpebraeUpperEyeLeft,PalpebraeLowerEyeLeft,PeriocularUpperEyeLeft,PeriocularLowerEyeLeft,EdemaEyeRight,PalpebraeUpperEyeRight,PalpebraeLowerEyeRight,PeriocularUpperEyeRight,PeriocularLowerEyeRight,DischargeEyeLeft,DischargeEyeRight,BulgingEyeLeft,BulgingEyeRight,SunkenEyeLeft,SunkenEyeRight,GlobeEyeLeft,GlobeEyeRight,NaresEyesComments,TraumaHeadDistribution,TraumaHeadSeverity,TraumaHeadChronicity,TraumaGularDistribution,TraumaGularSeverity,TraumaGularChronicity,TraumaPlastronDistribution,TraumaPlastronSeverity,TraumaPlastronChronicity,TraumaCarapaceDistribution,TraumaCarapaceSeverity,TraumaCarapaceChronicity,TraumaLimbsDistribution,TraumaLimbsSeverity,TraumaLimbsChronicity,SkinDamage,SkinDamageDescribe,ScuteBoneReplacement,TraumaComments,LaminaePeeling,LaminaePeelingDescribe,Pitting,PittingDescribe,FungalAreas,FungalAreasDescribe,DiseaseHeadDistribution,DiseaseHeadSeverity,DiseaseHeadChronicity,DiseaseGularDistribution,DiseaseGularSeverity,DiseaseGularChronicity,DiseasePlastronDistribution,DiseasePlastronSeverity,DiseasePlastronChronicity,DiseaseCarapaceDistribution,DiseaseCarapaceSeverity,DiseaseCarapaceChronicity,DiseaseLimbsDistribution,DiseaseLimbsSeverity,DiseaseLimbsChronicity,DiseaseComments,DataMigrated,DataProofed,TortoiseType,TortoiseStatus
BS05,10/3/2012,TG Jackson,Christine Stirling,,5,Fine Line,No,,,,,No,1,No,1,None,1,None,1,Yes,3,2,2,2,Yes,3,2,2,2,Dry Crust,Dry Crust,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,5/18/2013,Laura Pavliscak,Max Havelka,,5,Fine Line,No,,,,,No,1,No,1,None,1,None,1,Yes,3,2,2,1,Yes,3,2,2,1,None,Damp,Yes,Yes,,,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,10/8/2013,Chandra Llewellyn,Brian Cohn,,5,>1 mm,No,Y,N,,,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,2,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,Face covered w/ burrow dirt,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,Y,Fresh trauma subcarapacial LM2 to RM2,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,5/20/2014,John Hillman,Brian Cohn,,5,<1 mm,No,N,N,N,,No,1,No,1,None,1,None,1,Yes,1,2,2,1,Yes,2,2,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,9/14/2014,Jeff Valentine,TG Jackson,,3,Fine Line,No,N,N,N,N,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,5/16/2015,Imogen Daly,Geo Keyes,,4,<1 mm,No,,Y,N,N,No,1,No,1,None,1,None,1,Yes,2,1,2,1,Yes,2,1,2,1,Dry Crust,Dry Crust,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,,1,1,Translocatee (2012 Short),Tracked
BS05,9/17/2015,Geo Keyes,Imogen Daly,,6,Fine Line,No,,N,N,N,No,1,No,1,Partial,2,None,1,Yes,2,2,1,1,Yes,2,2,2,1,None,None,No,No,No,No,Clear-Bright;Inflamed Sclera,Clear-Bright;Inflamed Sclera,,1,1,1,2,2,2,1,1,1,2,2,2,2,2,3,Y,"scuffs below legs, fresh trauma below RM1",Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
BS05,5/16/2016,Cynthia Furman,La Deana Jeane,,4,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,Translocatee (2012 Short),Tracked
BS05,9/22/2016,Wayne Ball,TG Jackson,,5,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,2,2,1,Yes,2,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,Translocatee (2012 Short),Tracked
BS06,5/16/2011,Chandra Llewellyn,Jenny Weidensee,,,None,No,,,,,,,,,None,1,None,1,No,1,1,1,1,Yes,2,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,No,,Yes,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Plastron: Pits mild at seam;,0,0,Translocatee (2011 Short),Tracked
BS06,10/8/2011,Kelly Herbinson,Shawn Lindey,,5,None,No,,,,,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear & Bright,Clear & Bright,Nares Exudate: ; Nares Erosion: ; Eyes: Dirt/sand R eye- in fornix area,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,Head: ; Gular: ; Plastron: ; Carapace: ; Limbs:,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Head: ; Gular: ; Plastron: ; Carapace: Diagram indicates lifting of laminae between RM11 & Pygal; Limbs:,0,0,Translocatee (2011 Short),Tracked
BS06,5/22/2012,Kelly Herbinson,TG Jackson,,4,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,1,1,Yes,2,2,1,1,Dry Crust,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS06,10/3/2012,Max Havelka,Kelly Herbinson,,4,< 1 mm,No,,,,,No,1,No,1,None,1,None,1,Yes,2,2,2,2,Yes,2,2,2,2,Dry Crust,Dry Crust,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,Y,,No,,No,,No,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,1,1,Translocatee (2011 Short),Tracked
BS06,5/20/2013,Nicole Stephens,Cynthia Furman,,5,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,1,1,Yes,2,1,1,1,Dry Crust,Dry Crust,No,No,,,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,N,,Y,,No,,Yes,At junction of femoral and abdominal scutes,No,,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS06,10/5/2013,Max Havelka,John Hillman,,5,Fine Line,No,Y,Y,,,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,N,,N,,No,,Yes,"Left & right Fem, left & right Ab. Mild pitting.",No,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS06,5/22/2014,Cynthia Furman,Imogen Daly,,5,None,No,N,Y,N,,No,1,No,1,None,1,None,1,Yes,1,1,2,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,N,,Y,,No,,No,,No,,1,1,1,2,2,3,3,2,3,1,1,1,2,2,3,,1,1,Translocatee (2011 Short),Tracked
BS06,9/13/2014,Cynthia Furman,TG Jackson,,5,None,No,N,Y,N,N,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS06,5/15/2015,Brian Cohn,Jeff Valentine,,4,None,No,,Y,N,Y,No,1,No,1,None,1,None,1,Yes,2,1,2,1,Yes,2,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Y,Fresh/healing LM1-LM2,N,,No,,No,,No,,1,1,1,1,1,1,2,2,3,3,2,2,2,2,2,,1,1,Translocatee (2011 Short),Tracked
BS06,9/14/2015,Cynthia Furman,Jay Meyers,,7,None,No,,N,N,N,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,Dry Crust,Dry Crust,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,N,,N,,No,,Yes,"Minor, along midline of plastron",No,,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS06,5/27/2016,TG Jackson,Nicole Stephens,,5,None,No,,,,,No,1,No,1,None,1,None,1,Yes,3,1,2,1,Yes,3,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,Translocatee (2011 Short),Tracked
BS06,9/18/2016,Jacquelyn Smith,Jay Meyers,,5,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,2,1,Yes,2,1,3,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,Y,"Eroded seam at v1,rc1 and rm1-2 with bsr.possibly from ticks.",No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,Translocatee (2011 Short),Tracked
BS07,5/15/2011,Cynthia Furman,Craig Himmelwright,,,Yes,No,,,,,,,,,None,1,None,1,No,1,1,1,1,No,1,1,1,1,Dry Crust; None,Dry Crust; None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,No,,Yes,Carapace: Chewed;,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,Resident,Tracked
BS07,10/17/2011,Liz Smith,Jeff Valentine,,4,,No,,,,,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,2,1,1,None,None,No,No,No,No,Clear & Bright,Clear & Bright,"Nares Erosion: ; Eyes: Dirt/sand in eye- Yes, fornix area, few grains (R or L? not indicated)",1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,No,,No,Head: ; Gular: ; Plastron: ; Carapace: Diagram indicates trauma on LM9-11; Limbs:,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Head: ; Gular: ; Plastron: ; Carapace: ; Limbs:,0,0,Resident,Tracked
BS07,5/15/2012,Kelly Herbinson,TG Jackson,,2,Fine Line,No,,,,,No,1,No,1,Partial,2,Partial,2,No,1,1,1,1,No,1,1,1,1,Dry Crust,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,9/24/2012,Jay Meyers,Wayne Ball,,2,< 1 mm,No,,,,,No,1,No,1,Partial,2,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,5/22/2013,Geo Keyes,John Hillman,,2,>1 mm,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,1,1,Yes,2,1,1,1,None,None,No,No,,,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,9/27/2013,Craig Himmelwright,Brian Cohn,,2,>1 mm,No,Y,Y,,,No,1,No,1,Partial,2,Partial,2,Yes,2,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,5/18/2014,Geo Keyes,Max Havelka,,3,>1 mm,No,N,Y,N,,No,1,No,1,None,1,None,1,Yes,1,2,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,,1,1,Resident,Tracked
BS07,9/15/2014,Jacquelyn Smith,Imogen Daly,,3,Fine Line,No,N,Y,N,N,No,1,No,1,None,1,None,1,Yes,2,2,2,1,Yes,2,2,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,5/15/2015,Jeff Valentine,Brian Cohn,,3,>1 mm,No,,Y,Y,N,No,1,No,1,None,1,None,1,Yes,1,2,1,1,Yes,1,2,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,,1,1,Resident,Tracked
BS07,9/12/2015,Cynthia Furman,Jay Meyers,,3,None,No,,N,N,N,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,Laminae peeling on v5 from old transmitter placement,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Resident,Tracked
BS07,9/25/2015,Jeff Valentine,Laura Pavliscak,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Resident,Tracked
BS07,10/2/2015,Jeff Valentine,Jay Meyers,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Resident,Tracked
BS07,5/24/2016,Jeff Valentine,Amanda Scheib,,3,>1 mm,No,,,,,No,1,No,1,None,1,Partial,2,Yes,2,3,3,2,Yes,2,1,1,2,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,,1,0,Resident,Tracked
BS07,9/20/2016,Chandra Llewellyn,Jeff Valentine,,4,None,No,,,,,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,,0,0,Resident,Tracked
BS08,5/15/2011,Chandra Llewellyn,Jenny Weidensee,,,None,No,,,,,,,,,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,Translocatee (2011 Short),Tracked
BS08,10/9/2011,Shawn Lindey,Kelly Herbinson,,5,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,2,1,Yes,2,1,2,1,None,None,No,No,No,No,Clear & Bright,Clear & Bright,Nares Exudate: ; Nares Erosion: ; Eyes: Dirt/sand R/L eye- in fornix area,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,Head: ; Gular: ; Plastron: ; Carapace: ; Limbs:,Yes,,No,,No,,1,1,1,1,1,1,,,,2,2,2,1,1,1,Head: ; Gular: ; Plastron: ; Carapace: Peeling laminae on V2; Limbs:,0,0,Translocatee (2011 Short),Tracked
BS08,5/16/2012,Amanda Scheib,Max Havelka,,4,None,No,,,,,No,1,No,1,None,1,None,1,Yes,3,1,3,1,Yes,3,1,3,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,N,,N,"Missing several scales on both forelimbs, healed. Dorsal side of gular trauma missing laminae, healed. Missing nuchal. Possiby old trauma to V1.",Yes,"V2, right and left humeral-small areas of peeling\missing.",No,,No,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,Yellow flaking of laminae on all scutes of carapace.,1,1,Translocatee (2011 Short),Tracked
BS08,10/7/2012,Max Havelka,Amanda Scheib,,6,Fine Line,No,,,,,No,1,No,1,None,1,None,1,Yes,3,1,2,1,Yes,3,1,3,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,N,,N,Missing nuchal,Yes,Localized peeling on carapace & plastron.,No,,No,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS08,5/16/2013,John Hillman,Amanda Scheib,,6,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,1,1,Yes,2,1,2,1,None,None,No,No,,,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,Yes,"All plastron scutes and v2 & lc2. Small areas of peeling laminae.
",No,,No,,1,1,1,4,2,3,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS08,9/25/2013,Jeff Valentine,Chandra Llewellyn,,6,None,No,Y,Y,,,No,1,No,1,None,1,None,1,No,1,1,1,1,Yes,1,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,Dirt on face and in eyes,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,N,,N,Missing nuchal,Yes,On V2,No,,No,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS08,5/21/2014,Brian Cohn,John Hillman,,5,None,No,N,Y,N,,No,1,No,1,None,1,None,1,Yes,1,1,1,2,Yes,2,1,2,2,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS08,9/19/2014,Wayne Ball,TG Jackson,,7,None,No,N,Y,N,N,No,1,No,1,None,1,None,1,Yes,1,1,2,1,Yes,1,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
